time,latitude,longitude,distanceinmeters,heartrate,HHMMSS,meters,seconds,mph
2021-05-08T22:37:50.000Z,32.829606011509895,-117.2441113460809,2381.929931640625,111,22:37:50.000Z,52.989990234375,3,39.51286938476563
2021-05-08T22:37:54.000Z,32.82994036562741,-117.24460353143513,2441.2099609375,"
                ",22:37:54.000Z,59.280029296875,4,33.15235638427735
2021-05-08T22:37:58.000Z,32.83022090792656,-117.24482313729823,2478.590087890625,106,22:37:58.000Z,37.380126953125,4,20.90483599853516
2021-05-08T22:37:59.000Z,32.83030791208148,-117.24486940540373,2489.159912109375,106,22:37:59.000Z,10.56982421875,1,23.64469677734375
2021-05-08T22:38:03.000Z,32.83076858147979,-117.24504039622843,2542.75,107,22:38:03.000Z,53.590087890625,4,29.97025665283203
2021-05-08T22:38:07.000Z,32.83133754506707,-117.24521381780505,2607.89990234375,"
                ",22:38:07.000Z,65.14990234375,4,36.43508288574219
2021-05-08T22:38:11.000Z,32.831876669079065,-117.24536770954728,2669.39990234375,103,22:38:11.000Z,61.5,4,34.393875
2021-05-08T22:38:15.000Z,32.83246650360525,-117.24553367123008,2736.6201171875,105,22:38:15.000Z,67.22021484375,4,37.59290515136719
2021-05-08T22:38:18.000Z,32.83292415551841,-117.24566853605211,2788.909912109375,105,22:38:18.000Z,52.289794921875,3,38.990757080078126
2021-05-08T22:38:21.000Z,32.83337610773742,-117.24580231122673,2840.580078125,106,22:38:21.000Z,51.670166015625,3,38.528720458984374
2021-05-08T22:38:25.000Z,32.83394926227629,-117.24596961401403,2906.0400390625,106,22:38:25.000Z,65.4599609375,4,36.60848315429688
2021-05-08T22:38:27.000Z,32.83421681262553,-117.24605125375092,2936.679931640625,100,22:38:27.000Z,30.639892578125,2,34.270719848632815
2021-05-08T22:38:28.000Z,32.83434203825891,-117.24609282799065,2951.10009765625,100,22:38:28.000Z,14.420166015625,1,32.257911376953125
2021-05-08T22:38:30.000Z,32.8345877956599,-117.24619659595191,2980.030029296875,101,22:38:30.000Z,28.929931640625,2,32.35812854003906
2021-05-08T22:38:33.000Z,32.8349382430315,-117.24645350128412,3025.830078125,99,22:38:33.000Z,45.800048828125,3,34.15156974283855
2021-05-08T22:38:35.000Z,32.83513848669827,-117.24668903276324,3057.139892578125,"
                ",22:38:35.000Z,31.309814453125,2,35.02002746582031
2021-05-08T22:38:37.000Z,32.835289277136326,-117.24696898832917,3088.239990234375,98,22:38:37.000Z,31.10009765625,2,34.78545922851563
2021-05-08T22:38:39.000Z,32.83538801595569,-117.24728900939226,3120.159912109375,98,22:38:39.000Z,31.919921875,2,35.702432617187505
2021-05-08T22:38:43.000Z,32.835408467799425,-117.2479450609535,3182.0400390625,99,22:38:43.000Z,61.880126953125,4,34.606460998535155
2021-05-08T22:38:48.000Z,32.83527938649058,-117.24853103980422,3238.719970703125,97,22:38:48.000Z,56.679931640625,5,25.358601416015624
2021-05-08T22:38:49.000Z,32.83527477644384,-117.24861024878919,3246.1201171875,97,22:38:49.000Z,7.400146484375,1,16.554127685546877
2021-05-08T22:38:51.000Z,32.83531635068357,-117.24875978194177,3260.889892578125,96,22:38:51.000Z,14.769775390625,2,16.519993774414065
2021-05-08T22:38:52.000Z,32.83538441173732,-117.24880814552307,3269.679931640625,99,22:38:52.000Z,8.7900390625,1,19.6633173828125
2021-05-08T22:38:53.000Z,32.83546697348356,-117.24884988740087,3279.6201171875,99,22:38:53.000Z,9.940185546875,1,22.236195068359375
2021-05-08T22:38:55.000Z,32.83568632788956,-117.24888919852674,3304.110107421875,99,22:38:55.000Z,24.489990234375,2,27.39205407714844
2021-05-08T22:39:00.000Z,32.8361489251256,-117.24897896870971,3356.06005859375,98,22:39:00.000Z,51.949951171875,5,23.24240815429688
2021-05-08T22:39:05.000Z,32.83666600473225,-117.2491314355284,3415.159912109375,98,22:39:05.000Z,59.099853515625,5,26.441274462890625
2021-05-08T22:39:09.000Z,32.83716967329383,-117.24922061897814,3471.659912109375,98,22:39:09.000Z,56.5,4,31.597625
2021-05-08T22:39:12.000Z,32.83757887780666,-117.24926420487463,3517.25,97,22:39:12.000Z,45.590087890625,3,33.99500887044271
